Penyakit,Gejala,Solusi
Bercak Daun (Anggrek),anggek daun bercak coklat/kehitaman pada anggrek,"**(Penyebab: Cercospora dendrobii)**

Langkah Penanganan:
Pangkas daun terinfeksi, buang jauh dari kebun, jaga sirkulasi udara, dan semprot fungisida seperti Antracol atau Nativo secara berkala"
Busuk Hitam (Anggrek),anggek jaringan membusuk hitam pada anggrek,"**(Penyebab: Phytophthora nicotianae)**

Langkah Penanganan:
Kurangi kelembapan, hindari genangan air, potong bagian busuk, dan aplikasikan fungisida sistemik"
Antraknosa (Anggrek),anggrek bercak cekung pada daun/bunga pada anggrek,"**(Penyebab: Colletotrichum gloeosporioides)**

Langkah Penanganan:
Pangkas bagian terinfeksi, sanitasi alat, dan semprot fungisida berbahan aktif mankozeb atau klorotalonil"
Powdery Mildew (Embun Tepung) (Anggur),"anggur lapisan putih seperti bedak di daun, batang, dan bunga.","**(Penyebab: Lapisan putih seperti bedak di daun, batang, dan bunga)**

Langkah Penanganan:
Semprot fungisida sulfur atau kalium bikarbonat. Atur jarak tanam agar tidak terlalu lembap."
Downy Mildew (Embun Bulu) (Anggur),"anggur bercak kuning di atas daun, lapisan kelabu keunguan di bawah daun.","**(Penyebab: Bercak kuning di atas daun, lapisan kelabu keunguan di bawah daun)**

Langkah Penanganan:
Kurangi kelembapan, gunakan fungisida berbahan aktif tembaga (copper-based)."
Bercak Daun (Anturium),anturium daun bercak nekrotik pada anturium,"**(Penyebab: Cercospora dendrobii)**

Langkah Penanganan:
Buang daun sakit, kurangi kelembapan, dan lakukan penyemprotan fungisida secara rutin"
Busuk Hitam (Anyelir),anyelir batang membusuk pada anyelir,"**(Penyebab: Phytophthora nicotianae)**

Langkah Penanganan:
Perbaiki drainase, hindari penyiraman berlebih, dan gunakan fungisida sistemik"
Embun Tepung (Apel),apel daun berlapis putih seperti tepung,"**(Penyebab: Podosphaera leucotricha)**

Langkah Penanganan:
Pangkas daun terinfeksi, tingkatkan sirkulasi udara, dan semprot fungisida seperti Folicur"
Bercak Daun (Apel),apel daun bercak coklat dan mengering,"**(Penyebab: Marssonina coronaria)**

Langkah Penanganan:
Kumpulkan daun gugur, sanitasi kebun, dan aplikasikan fungisida preventif"
Ulat Grayak (Bawang Daun),bawang daun berlubang tidak beraturan,"**(Penyebab: Spodoptera litura)**

Langkah Penanganan:
Gunakan insektisida biologis atau kimia, pasang perangkap feromon, dan lakukan monitoring rutin"
Kutu Daun (Bawang Daun),bawang daun keriting dan menguning,"**(Penyebab: Aphis pomi)**

Langkah Penanganan:
Gunakan insektisida selektif, manfaatkan musuh alami, dan semprot sabun insektisida"
Thrips (Bawang Daun),bawang permukaan daun keperakan,"**(Penyebab: Thrips sp.)**

Langkah Penanganan:
Gunakan mulsa perak, perangkap kuning, dan insektisida selektif bila populasi tinggi"
Blas (Bawang Merah),bawang merah blas daun bercak coklat berbentuk belah ketupat khas kering menyebar,"**(Penyebab: Jamur Magnaporthe oryzae)**

Langkah Penanganan:
Gunakan varietas tahan, fungisida, perbaikan drainase"
Wereng Batang Coklat (Bawang Merah),bawang merah daun menguning lalu mengering,"**(Penyebab: Nilaparvata lugens)**

Langkah Penanganan:
Gunakan insektisida selektif, varietas tahan"
Ulat Grayak (Bawang Merah),bawang merah ulat grayak daun berlubang bercak putih transparan jaringan rusak,"**(Penyebab: Spodoptera litura)**

Langkah Penanganan:
Sanitasi lahan, rotasi tanaman, perangkap feromon, musuh alami, insektisida selektif"
Layu Fusarium (Bawang Merah),bawang merah layu fusarium daun layu dari bawah ke atas jaringan menguning,"**(Penyebab: Fusarium oxysporum)**

Langkah Penanganan:
Solarisasi tanah, fungisida, varietas tahan"
Antraknosa (Bawang Merah),bawang merah antraknosa buah bercak hitam cekung busuk jaringan lunak,"**(Penyebab: Colletotrichum capsici)**

Langkah Penanganan:
Fungisida, panen cepat, rotasi tanaman"
Busuk Buah (Bawang Merah),bawang merah busuk buah buah coklat kehitaman lembek berair mudah hancur,"**(Penyebab: Phytophthora palmivora)**

Langkah Penanganan:
Pangkas buah sakit, fungisida, drainase baik"
Karat Daun (Bawang Merah),bawang merah karat daun bercak kuning oranye seperti karat menyebar,"**(Penyebab: Hemileia vastatrix)**

Langkah Penanganan:
Fungisida tembaga, pangkas daun sakit"
