sumber_data;nama_tanaman;jenis_hama_penyakit_tanaman;gejala;Organisme Penyebab;solusi
manual;Bawang Merah;Blas;Daun bercak coklat berbentuk belah ketupat;Jamur Magnaporthe oryzae;Gunakan varietas tahan, fungisida, perbaikan drainase
manual;Bawang Merah;Wereng Batang Coklat;Daun menguning lalu mengering;Nilaparvata lugens;Gunakan insektisida selektif, varietas tahan
manual;Bawang Merah;Ulat Grayak;Daun berlubang, bercak putih transparan, daun kering;Spodoptera litura;Sanitasi lahan, rotasi tanaman, perangkap feromon, musuh alami, insektisida selektif
manual;Bawang Merah;Layu Fusarium;Daun layu dari bawah ke atas;Fusarium oxysporum;Solarisasi tanah, fungisida, varietas tahan
manual;Bawang Merah;Antraknosa;Buah muncul bercak hitam cekung;Colletotrichum capsici;Fungisida, panen cepat, rotasi tanaman
manual;Bawang Merah;Busuk Buah;Buah coklat kehitaman, busuk lembek;Phytophthora palmivora;Pangkas buah sakit, fungisida, drainase baik
manual;Bawang Merah;Karat Daun;Daun bercak kuning-oranye;Hemileia vastatrix;Fungisida tembaga, pangkas daun sakit
manual;Bawang Merah;Virus Kuning;Daun keriting, kerdil, berubah kuning;Virus Gemini via kutu kebul;Kendalikan kutu kebul, varietas tahan
manual;Bawang Merah;Busuk Akar;Akar membusuk, tanaman layu mendadak;Phytophthora spp.;Perbaiki drainase, fungisida tanah
manual;Bawang Merah;Penggerek Buah;Buah berlubang kecil, biji rusak;Hypothenemus hampei;Perangkap serangga, insektisida nabati
kaggle;Bayam;Daun Bakteri;Terdapat bercak pada daun;Bakteri Xanthomonas spp.;Sanitasi tanaman, penggunaan benih sehat, dan penyemprotan bakterisida
kaggle;Bayam;Bercak Daun Cercospora;Daun tetap hijau, Terdapat bercak pada daun, Pertumbuhan tanaman terhambat;Jamur Cercospora beticola;Rotasi tanaman, fungisida, dan sanitasi lahan
kaggle;Bayam;Embun Tepung;Daun berwarna kuning, Batang mengalami pembusukan;Jamur Erysiphe spp.;Penyemprotan fungisida dan menjaga sirkulasi udara
